level,word,meaning_ja,Part_of_Speech,category,pronunciation,example_en,example_ja
2級,accept,受け入れる・承認する,動詞,日常・基本,/əkˈsɛpt/,I accept your invitation.,私はあなたの招待を受け入れます。
2級,achieve,達成する,動詞,思考・感情,/əˈtʃiv/,He worked hard to achieve his goals.,彼は目標を達成するために一生懸命働きました。
2級,advantage,利点・有利,名詞,ビジネス,/ədˈvæntɪdʒ/,Having a good education is an advantage.,良い教育を受けることは利点です。
2級,advice,アドバイス・助言,名詞,思考・感情,/ədˈvaɪs/,She gave me some helpful advice.,彼女は私に役立つアドバイスをくれました。
2級,agree,同意する・合意する,動詞,思考・感情,/əˈɡriː/,I agree with your opinion.,私はあなたの意見に同意します。
2級,allow,許可する・認める,動詞,日常・基本,/əˈlaʊ/,They do not allow smoking here.,ここでは喫煙を許可していません。
2級,analyze,分析する,動詞,学術,/ˈænəlaɪz/,We need to analyze the data carefully.,私たちはデータを注意深く分析する必要があります。
2級,annual,毎年の・年1回の,形容詞,ビジネス,/ˈænjuəl/,The annual report is due next month.,年次報告書は来月に提出されます。
2級,apply,応募する・適用する,動詞,日常・基本,/əˈplaɪ/,I will apply for the job.,私はその仕事に応募します。
2級,argue,議論する・主張する,動詞,思考・感情,/ˈɑːrɡjuː/,They often argue about politics.,彼らはしばしば政治について議論します。
2級,attend,出席する・参加する,動詞,日常・基本,/əˈtɛnd/,I will attend the meeting tomorrow.,私は明日の会議に出席します。
2級,average,平均・標準的な,名詞・形容詞,自然・社会,/ˈævərɪdʒ/,The average temperature is rising.,平均気温が上昇しています。
2級,balance,バランス・均衡,名詞・動詞,抽象概念,/ˈbæləns/,It's important to maintain a balance in life.,人生においてバランスを保つことが重要です。
2級,benefit,利益・恩恵,名詞・動詞,ビジネス,/ˈbɛnɪfɪt/,The new policy will benefit everyone.,新しい政策は皆に利益をもたらします。
2級,candidate,候補者,名詞,政治・社会,/ˈkændɪdeɪt/,She is a candidate for the scholarship.,彼女は奨学金の候補者です。
2級,challenge,挑戦・課題,名詞・動詞,思考・感情,/ˈtʃælɪndʒ/,I love a good challenge.,私は良い挑戦が好きです。
2級,complain,不満を言う・文句を言う,動詞,思考・感情,/kəmˈpleɪn/,He always complains about the weather.,彼はいつも天気について文句を言います。
2級,conclude,結論を出す・終わる,動詞,学術,/kənˈkluːd/,We can conclude that the experiment was successful.,私たちは実験が成功したと結論づけることができます。
2級,contribute,寄付する・貢献する,動詞,文化,/kənˈtrɪbjuːt/,Everyone can contribute to the project.,誰もがそのプロジェクトに貢献できます。
2級,create,創造する・作り出す,動詞,文化,/kriˈeɪt/,They create beautiful art.,彼らは美しいアートを創造します。
2級,discuss,議論する・討論する,動詞,思考・感情,/dɪsˈkʌs/,Let's discuss the plan together.,一緒に計画について議論しましょう。
2級,effect,効果・影響,名詞,自然・社会,/ɪˈfɛkt/,The new law will have a positive effect.,新しい法律は良い影響を与えるでしょう。
2級,encourage,励ます・奨励する,動詞,思考・感情,/ɪnˈkɜːrɪdʒ/,Teachers encourage students to ask questions.,教師は生徒に質問するよう奨励します。
2級,evaluate,評価する,動詞,学術,/ɪˈvæljueɪt/,We need to evaluate the results carefully.,私たちは結果を注意深く評価する必要があります。
2級,experience,経験・体験,名詞・動詞,日常・基本,/ɪkˈspɪəriəns/,Traveling is a great experience.,旅行は素晴らしい体験です。
2級,explain,説明する,動詞,学術,/ɪkˈspleɪn/,Can you explain this problem?,この問題を説明できますか？
2級,feature,特徴・特性,名詞,自然・社会,/ˈfiːtʃər/,This phone has many new features.,この電話には多くの新しい特徴があります。
2級,focus,焦点・集中する,名詞・動詞,思考・感情,/ˈfoʊkəs/,You need to focus on your studies.,あなたは勉強に集中する必要があります。
2級,frequently,頻繁に・しばしば,副詞,様子・程度,/ˈfriːkwəntli/,She frequently visits her grandparents.,彼女は頻繁に祖父母を訪れます。
2級,goal,目標・目的,名詞,思考・感情,/ɡoʊl/,My goal is to learn English.,私の目標は英語を学ぶことです。
2級,improve,改善する・向上させる,動詞,思考・感情,/ɪmˈpruːv/,I want to improve my skills.,私は自分のスキルを向上させたいです。
2級,influence,影響・影響を与える,名詞・動詞,自然・社会,/ˈɪnfluəns/,His speech had a strong influence on the audience.,彼のスピーチは観客に強い影響を与えました。
2級,introduce,紹介する・導入する,動詞,文化,/ˌɪntrəˈdjuːs/,Let me introduce myself.,自己紹介させてください。
2級,manage,管理する・経営する,動詞,ビジネス,/ˈmænɪdʒ/,She manages a large team.,彼女は大きなチームを管理しています。
2級,method,方法・手段,名詞,学術,/ˈmɛθəd/,This method is very effective.,この方法は非常に効果的です。
2級,opinion,意見・見解,名詞,思考・感情,/əˈpɪnjən/,What is your opinion on this matter?,この件についてあなたの意見は何ですか？
2級,participate,参加する・関与する,動詞,日常・基本,/pɑːrˈtɪsɪpeɪt/,I will participate in the event.,私はそのイベントに参加します。
2級,perform,実行する・演じる,動詞,文化,/pərˈfɔːrm/,They will perform a play.,彼らは劇を演じます。
2級,prepare,準備する・用意する,動詞,日常・基本,/prɪˈpɛr/,We need to prepare for the exam.,私たちは試験の準備をする必要があります。
2級,progress,進展・進歩,名詞・動詞,思考・感情,/ˈprɒɡrɛs/,I can see progress in my studies.,私は学習の進展を見ています。
2級,recommend,推薦する・勧める,動詞,文化,/ˌrɛkəˈmɛnd/,I recommend this book to everyone.,私はこの本を皆に推薦します。
